"subj","age","condition","pos","item","response"
58,4,0,"adj","happy_sad",1
59,4,0,"adj","happy_sad",1
60,5,0,"adj","happy_sad",1
61,4,0,"adj","happy_sad",1
62,5,0,"adj","happy_sad",1
63,5,0,"adj","happy_sad",1
64,4,0,"adj","happy_sad",0
66,5,0,"adj","happy_sad",1
67,4,0,"adj","happy_sad",1
68,5,0,"adj","happy_sad",0
69,5,0,"adj","happy_sad",0
70,5,0,"adj","happy_sad",1
71,5,0,"adj","happy_sad",1
72,4,0,"adj","happy_sad",1
73,5,0,"adj","happy_sad",1
75,5,0,"adj","happy_sad",1
76,5,0,"adj","happy_sad",1
77,5,0,"adj","happy_sad",1
78,4,0,"adj","happy_sad",1
79,5,0,"adj","happy_sad",0
80,5,0,"adj","happy_sad",1
81,5,0,"adj","happy_sad",1
82,5,1,"adj","happy_sad",1
83,5,0,"adj","happy_sad",1
84,5,1,"adj","happy_sad",1
85,5,1,"adj","happy_sad",0
86,5,1,"adj","happy_sad",1
87,5,1,"adj","happy_sad",1
88,4,1,"adj","happy_sad",1
89,5,1,"adj","happy_sad",1
90,4,0,"adj","happy_sad",1
91,5,0,"adj","happy_sad",1
92,5,0,"adj","happy_sad",1
93,5,1,"adj","happy_sad",1
94,4,0,"adj","happy_sad",1
96,5,1,"adj","happy_sad",1
98,4,0,"adj","happy_sad",1
99,4,1,"adj","happy_sad",1
100,4,1,"adj","happy_sad",1
101,5,1,"adj","happy_sad",1
102,4,0,"adj","happy_sad",1
103,4,1,"adj","happy_sad",1
104,4,1,"adj","happy_sad",1
105,4,1,"adj","happy_sad",1
106,5,0,"adj","happy_sad",1
107,4,1,"adj","happy_sad",0
108,5,0,"adj","happy_sad",1
109,4,1,"adj","happy_sad",0
111,5,1,"adj","happy_sad",0
112,4,1,"adj","happy_sad",0
113,4,1,"adj","happy_sad",0
114,5,1,"adj","happy_sad",1
115,4,0,"adj","happy_sad",0
116,4,0,"adj","happy_sad",0
117,4,0,"adj","happy_sad",1
118,4,0,"adj","happy_sad",1
119,4,0,"adj","happy_sad",1
120,4,0,"adj","happy_sad",1
122,4,1,"adj","happy_sad",1
123,4,1,"adj","happy_sad",1
124,4,1,"adj","happy_sad",0
125,4,1,"adj","happy_sad",0
1,4,1,"adj","fast_slow",0
2,5,1,"adj","fast_slow",1
3,5,1,"adj","fast_slow",1
4,5,1,"adj","fast_slow",1
5,5,1,"adj","fast_slow",1
6,5,1,"adj","fast_slow",1
7,4,0,"adj","fast_slow",0
8,5,0,"adj","fast_slow",0
9,5,0,"adj","fast_slow",1
10,4,0,"adj","fast_slow",1
11,5,0,"adj","fast_slow",0
12,4,1,"adj","fast_slow",1
13,5,1,"adj","fast_slow",1
14,4,1,"adj","fast_slow",1
15,4,1,"adj","fast_slow",1
16,4,1,"adj","fast_slow",1
18,5,0,"adj","fast_slow",1
20,5,0,"adj","fast_slow",0
22,4,1,"adj","fast_slow",1
23,5,1,"adj","fast_slow",1
24,4,1,"adj","fast_slow",1
26,4,1,"adj","fast_slow",1
27,5,0,"adj","fast_slow",1
28,4,0,"adj","fast_slow",1
31,5,0,"adj","fast_slow",0
32,4,1,"adj","fast_slow",1
33,4,1,"adj","fast_slow",1
35,4,1,"adj","fast_slow",0
36,5,1,"adj","fast_slow",1
37,4,0,"adj","fast_slow",1
38,4,0,"adj","fast_slow",0
42,4,1,"adj","fast_slow",1
43,5,1,"adj","fast_slow",1
44,4,1,"adj","fast_slow",1
45,4,1,"adj","fast_slow",0
46,4,1,"adj","fast_slow",1
47,4,0,"adj","fast_slow",0
48,5,0,"adj","fast_slow",0
49,5,0,"adj","fast_slow",1
50,4,0,"adj","fast_slow",1
51,4,0,"adj","fast_slow",0
52,5,1,"adj","fast_slow",0
53,5,1,"adj","fast_slow",1
54,5,1,"adj","fast_slow",1
55,5,1,"adj","fast_slow",1
58,4,0,"adj","fast_slow",1
59,4,0,"adj","fast_slow",1
60,5,0,"adj","fast_slow",1
61,4,0,"adj","fast_slow",1
62,5,0,"adj","fast_slow",1
63,5,0,"adj","fast_slow",1
64,4,0,"adj","fast_slow",1
66,5,0,"adj","fast_slow",0
67,4,0,"adj","fast_slow",1
68,5,0,"adj","fast_slow",1
69,5,0,"adj","fast_slow",1
70,5,0,"adj","fast_slow",0
71,5,0,"adj","fast_slow",1
72,4,0,"adj","fast_slow",1
73,5,0,"adj","fast_slow",1
75,5,0,"adj","fast_slow",1
76,5,0,"adj","fast_slow",1
77,5,0,"adj","fast_slow",1
78,4,0,"adj","fast_slow",1
79,5,0,"adj","fast_slow",1
80,5,0,"adj","fast_slow",1
81,5,0,"adj","fast_slow",0
82,5,1,"adj","fast_slow",1
83,5,0,"adj","fast_slow",1
84,5,1,"adj","fast_slow",1
85,5,1,"adj","fast_slow",1
86,5,1,"adj","fast_slow",1
87,5,1,"adj","fast_slow",0
88,4,1,"adj","fast_slow",1
89,5,1,"adj","fast_slow",1
90,4,0,"adj","fast_slow",1
91,5,0,"adj","fast_slow",1
92,5,0,"adj","fast_slow",1
93,5,1,"adj","fast_slow",1
94,4,0,"adj","fast_slow",0
96,5,1,"adj","fast_slow",1
98,4,0,"adj","fast_slow",1
99,4,1,"adj","fast_slow",1
100,4,1,"adj","fast_slow",1
101,5,1,"adj","fast_slow",1
102,4,0,"adj","fast_slow",1
103,4,1,"adj","fast_slow",1
104,4,1,"adj","fast_slow",1
105,4,1,"adj","fast_slow",1
106,5,0,"adj","fast_slow",1
107,4,1,"adj","fast_slow",0
108,5,0,"adj","fast_slow",1
109,4,1,"adj","fast_slow",1
111,5,1,"adj","fast_slow",0
112,4,1,"adj","fast_slow",1
113,4,1,"adj","fast_slow",1
114,5,1,"adj","fast_slow",1
115,4,0,"adj","fast_slow",0
116,4,0,"adj","fast_slow",1
117,4,0,"adj","fast_slow",1
118,4,0,"adj","fast_slow",1
119,4,0,"adj","fast_slow",1
120,4,0,"adj","fast_slow",1
122,4,1,"adj","fast_slow",1
123,4,1,"adj","fast_slow",1
124,4,1,"adj","fast_slow",1
125,4,1,"adj","fast_slow",1
1,4,1,"adj","awake_asleep",0
2,5,1,"adj","awake_asleep",1
